ticks,col0,col1,col2,col3,col4,col5
0,0.257508424,0.28566101,0.26609915,0.269805009,0.249568328,0.248318543
0.000694444,0.253165577,0.26609915,0.269805009,0.249568328,0.248318543,0.257508424
0.001388889,0.27688575,0.269805009,0.249568328,0.248318543,0.257508424,0.253165577
0.002083333,0.26589866,0.249568328,0.248318543,0.257508424,0.253165577,0.27688575
0.002777778,0.284481745,0.248318543,0.257508424,0.253165577,0.27688575,0.26589866
0.003472222,0.269672207,0.257508424,0.253165577,0.27688575,0.26589866,0.284481745
0.004166667,0.261433819,0.253165577,0.27688575,0.26589866,0.284481745,0.269672207
0.004861111,0.27004076,0.27688575,0.26589866,0.284481745,0.269672207,0.261433819
0.005555556,0.27002995,0.26589866,0.284481745,0.269672207,0.261433819,0.27004076
0.00625,0.276121364,0.284481745,0.269672207,0.261433819,0.27004076,0.27002995
0.006944444,0.266939461,0.269672207,0.261433819,0.27004076,0.27002995,0.276121364
0.007638889,0.266185884,0.261433819,0.27004076,0.27002995,0.276121364,0.266939461
0.008333333,0.278094871,0.27004076,0.27002995,0.276121364,0.266939461,0.266185884
0.009027778,0.268417017,0.27002995,0.276121364,0.266939461,0.266185884,0.278094871
0.009722222,0.266091172,0.276121364,0.266939461,0.266185884,0.278094871,0.268417017
0.010416667,0.2613633,0.266939461,0.266185884,0.278094871,0.268417017,0.266091172
0.011111111,0.253292974,0.266185884,0.278094871,0.268417017,0.266091172,0.2613633
0.011805556,0.247597652,0.278094871,0.268417017,0.266091172,0.2613633,0.253292974
0.0125,0.252360526,0.268417017,0.266091172,0.2613633,0.253292974,0.247597652
0.013194444,0.245333832,0.266091172,0.2613633,0.253292974,0.247597652,0.252360526
0.013888889,0.226257628,0.2613633,0.253292974,0.247597652,0.252360526,0.245333832
0.014583333,0.238190808,0.253292974,0.247597652,0.252360526,0.245333832,0.226257628
0.015277778,0.218493572,0.247597652,0.252360526,0.245333832,0.226257628,0.238190808
0.015972222,0.216080993,0.252360526,0.245333832,0.226257628,0.238190808,0.218493572
0.016666667,0.213386338,0.245333832,0.226257628,0.238190808,0.218493572,0.216080993
0.017361111,0.219046658,0.226257628,0.238190808,0.218493572,0.216080993,0.213386338
0.018055556,0.204597695,0.238190808,0.218493572,0.216080993,0.213386338,0.219046658
0.01875,0.208249249,0.218493572,0.216080993,0.213386338,0.219046658,0.204597695
0.019444444,0.197267563,0.216080993,0.213386338,0.219046658,0.204597695,0.208249249
0.020138889,0.210409863,0.213386338,0.219046658,0.204597695,0.208249249,0.197267563
0.020833333,0.195101544,0.219046658,0.204597695,0.208249249,0.197267563,0.210409863
0.021527778,0.208962161,0.204597695,0.208249249,0.197267563,0.210409863,0.195101544
0.022222222,0.192127643,0.208249249,0.197267563,0.210409863,0.195101544,0.208962161
0.022916667,0.18867941,0.197267563,0.210409863,0.195101544,0.208962161,0.192127643
0.023611111,0.188269936,0.210409863,0.195101544,0.208962161,0.192127643,0.18867941
0.024305556,0.183317381,0.195101544,0.208962161,0.192127643,0.18867941,0.188269936
0.025,0.187915024,0.208962161,0.192127643,0.18867941,0.188269936,0.183317381
0.025694444,0.181742281,0.192127643,0.18867941,0.188269936,0.183317381,0.187915024
0.026388889,0.177816886,0.18867941,0.188269936,0.183317381,0.187915024,0.181742281
0.027083333,0.172083473,0.188269936,0.183317381,0.187915024,0.181742281,0.177816886
0.027777778,0.176700162,0.183317381,0.187915024,0.181742281,0.177816886,0.172083473
0.028472222,0.178923059,0.187915024,0.181742281,0.177816886,0.172083473,0.176700162
0.029166667,0.155517391,0.181742281,0.177816886,0.172083473,0.176700162,0.178923059
0.029861111,0.042281382,0.177816886,0.172083473,0.176700162,0.178923059,0.155517391
0.030555556,0.097355557,0.172083473,0.176700162,0.178923059,0.155517391,0.042281382
0.03125,0.133361249,0.176700162,0.178923059,0.155517391,0.042281382,0.097355557
0.031944444,0.144925876,0.178923059,0.155517391,0.042281382,0.097355557,0.133361249
0.032638889,0.148799797,0.155517391,0.042281382,0.097355557,0.133361249,0.144925876
0.033333333,0.150962985,0.042281382,0.097355557,0.133361249,0.144925876,0.148799797
0.034027778,0.160044515,0.097355557,0.133361249,0.144925876,0.148799797,0.150962985
0.034722222,0.148452864,0.133361249,0.144925876,0.148799797,0.150962985,0.160044515
0.035416667,0.151624424,0.144925876,0.148799797,0.150962985,0.160044515,0.148452864
0.036111111,0.145584742,0.148799797,0.150962985,0.160044515,0.148452864,0.151624424
0.036805556,0.145099343,0.150962985,0.160044515,0.148452864,0.151624424,0.145584742
0.0375,0.134586584,0.160044515,0.148452864,0.151624424,0.145584742,0.145099343
0.038194444,0.151036336,0.148452864,0.151624424,0.145584742,0.145099343,0.134586584
0.038888889,0.14739276,0.151624424,0.145584742,0.145099343,0.134586584,0.151036336
0.039583333,0.148973264,0.145584742,0.145099343,0.134586584,0.151036336,0.14739276
0.040277778,0.141645706,0.145099343,0.134586584,0.151036336,0.14739276,0.148973264
0.040972222,0.137891204,0.134586584,0.151036336,0.14739276,0.148973264,0.141645706
0.041666667,0.145749973,0.151036336,0.14739276,0.148973264,0.141645706,0.137891204
0.042361111,0.141965616,0.14739276,0.148973264,0.141645706,0.137891204,0.145749973
0.043055556,0.150537297,0.148973264,0.141645706,0.137891204,0.145749973,0.141965616
0.04375,0.146265226,0.141645706,0.137891204,0.145749973,0.141965616,0.150537297
0.044444444,0.139146394,0.137891204,0.145749973,0.141965616,0.150537297,0.146265226
0.045138889,0.134857851,0.145749973,0.141965616,0.150537297,0.146265226,0.139146394
0.045833333,0.124841042,0.141965616,0.150537297,0.146265226,0.139146394,0.134857851
0.046527778,0.132916773,0.150537297,0.146265226,0.139146394,0.134857851,0.124841042
0.047222222,0.135776659,0.146265226,0.139146394,0.134857851,0.124841042,0.132916773
0.047916667,0.128584735,0.139146394,0.134857851,0.124841042,0.132916773,0.135776659
0.048611111,0.140705022,0.134857851,0.124841042,0.132916773,0.135776659,0.128584735
0.049305556,0.125887505,0.124841042,0.132916773,0.135776659,0.128584735,0.140705022
0.05,0.13479531,0.132916773,0.135776659,0.128584735,0.140705022,0.125887505
0.050694444,0.118793124,0.135776659,0.128584735,0.140705022,0.125887505,0.13479531
0.051388889,0.124692026,0.128584735,0.140705022,0.125887505,0.13479531,0.118793124
0.052083333,0.129381807,0.140705022,0.125887505,0.13479531,0.118793124,0.124692026
0.052777778,0.110850196,0.125887505,0.13479531,0.118793124,0.124692026,0.129381807
0.053472222,0.121905232,0.13479531,0.118793124,0.124692026,0.129381807,0.110850196
0.054166667,0.11661089,0.118793124,0.124692026,0.129381807,0.110850196,0.121905232
0.054861111,0.122002775,0.124692026,0.129381807,0.110850196,0.121905232,0.11661089
0.055555556,0.117136696,0.129381807,0.110850196,0.121905232,0.11661089,0.122002775
0.05625,0.117109672,0.110850196,0.121905232,0.11661089,0.122002775,0.117136696
0.056944444,0.117974432,0.121905232,0.11661089,0.122002775,0.117136696,0.117109672
0.057638889,0.128129448,0.11661089,0.122002775,0.117136696,0.117109672,0.117974432
0.058333333,0.126963823,0.122002775,0.117136696,0.117109672,0.117974432,0.128129448
0.059027778,0.120501026,0.117136696,0.117109672,0.117974432,0.128129448,0.126963823
0.059722222,0.125703229,0.117109672,0.117974432,0.128129448,0.126963823,0.120501026
0.060416667,0.110844791,0.117974432,0.128129448,0.126963823,0.120501026,0.125703229
0.061111111,0.11182614,0.128129448,0.126963823,0.120501026,0.125703229,0.110844791
0.061805556,0.11542622,0.126963823,0.120501026,0.125703229,0.110844791,0.11182614
0.0625,0.121691101,0.120501026,0.125703229,0.110844791,0.11182614,0.11542622
0.063194444,0.105146637,0.125703229,0.110844791,0.11182614,0.11542622,0.121691101
0.063888889,0.102809983,0.110844791,0.11182614,0.11542622,0.121691101,0.105146637
0.064583333,0.110538522,0.11182614,0.11542622,0.121691101,0.105146637,0.102809983
0.065277778,0.110847622,0.11542622,0.121691101,0.105146637,0.102809983,0.110538522
0.065972222,0.110777103,0.121691101,0.105146637,0.102809983,0.110538522,0.110847622
0.066666667,0.112235614,0.105146637,0.102809983,0.110538522,0.110847622,0.110777103
0.067361111,0.091687258,0.102809983,0.110538522,0.110847622,0.110777103,0.112235614
