datetime,val0,temp,demand
9/30/13 02:06,3084.128,31,3041.806
9/30/13 02:07,3054.72,34,3084.128
9/30/13 02:08,3028.746,33,3054.72
9/30/13 02:09,3000.391,31,3028.746
9/30/13 02:10,3004.119,30,3000.391
9/30/13 02:11,3061.946,32,3004.119
9/30/13 02:12,3015.548,33,3061.946
9/30/13 02:13,2993.365,30,3015.548
9/30/13 02:14,2925.691,31,2993.365
9/30/13 02:15,2972.815,35,2925.691
9/30/13 02:16,2991.322,33,2972.815
9/30/13 02:17,3052.434,30,2991.322
9/30/13 02:18,3036.698,32,3052.434
9/30/13 02:19,3013.852,33,3036.698
9/30/13 02:20,3029.736,33,3013.852
9/30/13 02:21,3012.103,33,3029.736
9/30/13 02:22,3042.091,31,3012.103
9/30/13 02:23,3031.716,30,3042.091
9/30/13 02:24,3030.283,33,3031.716
9/30/13 02:25,3013.915,34,3030.283
9/30/13 02:26,2986.023,30,3013.915
9/30/13 02:27,2991.722,32,2986.023
9/30/13 02:28,3005.394,35,2991.722
9/30/13 02:29,3004.783,35,3005.394
9/30/13 02:30,3028.714,33,3004.783
9/30/13 02:31,2993.607,30,3028.714
9/30/13 02:32,3000.117,32,2993.607
9/30/13 02:33,3018.307,35,3000.117
9/30/13 02:34,3009.712,33,3018.307
9/30/13 02:35,2996.925,35,3009.712
9/30/13 02:36,3009.565,31,2996.925
9/30/13 02:37,3019.813,30,3009.565
9/30/13 02:38,3005.51,31,3019.813
9/30/13 02:39,2981.452,33,3005.51
9/30/13 02:40,3007.29,30,2981.452
9/30/13 02:41,3026.765,34,3007.29
9/30/13 02:42,2993.997,30,3026.765
9/30/13 02:43,2974.764,30,2993.997
9/30/13 02:44,3022.162,35,2974.764
9/30/13 02:45,3023.163,31,3022.162
9/30/13 02:46,2937.846,31,3023.163
9/30/13 02:47,2999.99,30,2937.846
9/30/13 02:48,2980.926,35,2999.99
9/30/13 02:49,2987.867,32,2980.926
9/30/13 02:50,2992.164,33,2987.867
9/30/13 02:51,3024.848,35,2992.164
9/30/13 02:52,3029.904,30,3024.848
9/30/13 02:53,3001.613,34,3029.904
9/30/13 02:54,3043.903,35,3001.613
9/30/13 02:55,2997.621,30,3043.903
9/30/13 02:56,2950.801,33,2997.621
9/30/13 02:57,2959.249,34,2950.801
9/30/13 02:58,2914.631,32,2959.249
9/30/13 02:59,2927.681,31,2914.631
9/30/13 03:00,2943.47,30,2927.681
9/30/13 03:01,2938.341,35,2943.47
9/30/13 03:02,2921.151,34,2938.341
9/30/13 03:03,2920.814,35,2921.151
9/30/13 03:04,2917.296,34,2920.814
9/30/13 03:05,2930.673,32,2917.296
9/30/13 03:06,2929.398,35,2930.673
9/30/13 03:07,2911.081,30,2929.398
